,concepts,description,related
633,Cystocrepis setigera,"The pourtalesiids (Pourtalesiidae) are a family of irregular sea urchins that live in the deep sea. They are secondarily bilateral-symmetrical and like other representatives of the taxon Holasteroida they lack the lantern of Aristotle, which is typical for many other sea urchins.", 
634,Cyttomimus,"Cyttomimus is a genus of zeniontid fishes native to the Pacific Ocean. Zeniontidae is a family of large, showy, deep-bodied zeiform marine fish. Found in the Atlantic, Indian, and Pacific Ocean, the family contains just seven species in three genera.","Zeniontidae, Zeidae"
635,Cyttopsis rosea,"Cyttopsis rosea, the rosy dory, is a zeiform fish which is found on the continental slopes in most parts of the Atlantic and Pacific Oceans. It growth up to 22 cm and feeds on other fishes and on swimming crustaceans.","Cyttopsis, Parazenidae, List of least concern fishes, List of fishes of India"
636,Decapoda,"The Decapoda or decapods (literally ""ten-footed"") are an order of crustaceans within the class Malacostraca, including many familiar groups, including crabs, lobsters, crayfish, shrimp, and prawns. Most decapods are scavengers.","2018 in arthropod paleontology, Crab, Carcinisation, Decapoda Shock"
637,DeepPIV 1.0,DeepPIV 1.0 equipment, 
638,DeepPIV 2.0,DeepPIV 2.0 equipment, 
639,DeepPIV 3.0,DeepPIV 3.0 equipment, 
640,Deepstaria,"Deepstaria is a genus of jellyfish known for their thin, sheet-like bodies. The genus is named after the Deep Star 4000, which collected the holotype of the type species, D. The Ulmaridae are a family of jellyfish.","Deepstaria enigmatica, Deepstaria reticulum, Ulmaridae"
641,Deepstaria enigmatica,Deepstaria enigmatica is a very rarely seen giant jellyfish of the family Ulmaridae first described in 1967 by F. S.,"Deepstaria, Deepstaria reticulum"
642,Deepstaria reticulum,"Deepstaria reticulum, is a jellyfish of the family Ulmaridae. It was described by Larson, Madin, and Harbison in 1988. Deepstaria is a genus of jellyfish known for their thin, sheet-like bodies. The genus is named after the Deep Star 4000, which collected the holotype of the type species, D.",Deepstaria
643,Deimatidae,Deimatidae is a family of sea cucumbers belonging to the clade Synallactida.,"Sea cucumber, Synallactida, Oneirophanta mutabilis, Psychropotidae"
644,Deiopea,"Eurhamphaeidae is a family of ctenophores. Lobata is an order of Ctenophora in the class Tentaculata with smaller tentacles than other ctenophores, and distinctive flattened lobes extending outwards from their bodies.","Lobata, Ctenophora, Beroidae, Cambojiidae"
645,Delectopecten,"Delectopecten is a genus of bivalve molluscs within the family Pectinidae. There are currently 18 members of this genus, with around half found as fossils dating back to 66 MYA.","Scallop, 2023 in paleomalacology, List of marine molluscs of Ireland (Bivalvia), List of the Cenozoic life of Oregon"
646,Democrinus japonicus,"Bourgueticrinidae is a family of crinoids, containing 2 genera. Bourgueticrinida is an order of crinoids that typically live deep in the ocean. Members of this order are attached to the seabed by a slender stalk and are known as sea lilies.","2019 in paleontology, Paleobiota of the London Clay, List of crinoid genera, List of prehistoric echinoderm genera"
647,Demospongiae,Demosponges (Demospongiae) are the most diverse class in the phylum Porifera. They include 76.,"Sponge, Spongia officinalis, Siliceous sponge, Chondrocladia lyra"
648,Demospongiae sp. 1,Demosponges (Demospongiae) are the most diverse class in the phylum Porifera. They include 76.,"Sponge, Spongia officinalis, Siliceous sponge, Chondrocladia lyra"
649,Dendronotus patricki,"Dendronotus patricki is a species of sea slug, a dendronotid nudibranch, a shell-less marine gastropod mollusc in the family Dendronotidae.","Dendronotus, Dendronotidae, List of gastropods described in 2011"
650,Dendropathes,"Schizopathidae is a family of corals belonging to the order Antipatharia. Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).",Black coral
651,Dendropathes bacotaylorae,"Schizopathidae is a family of corals belonging to the order Antipatharia. Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).",Black coral
652,Dendrophyllia,"Dendrophyllia is a genus of stony cup corals in the family Dendrophylliidae. Members of this genus are found at depths down to about 900 metres (3,000 ft). Dendrophylliidae is a family of stony corals. Most (but not all) members are azooxanthellate and thus have to capture food with their tentacles instead of relying on photosynthesis to produce their food.","Orange cup coral, Turbinaria bifrons, Dendrophylliidae, Aliwal Shoal"
653,Dendrophylliidae,Dendrophylliidae is a family of stony corals. Most (but not all) members are azooxanthellate and thus have to capture food with their tentacles instead of relying on photosynthesis to produce their food.,"Cup coral, Scleractinia, Tubastraea, IUCN Red List data deficient species (Cnidaria)"
654,Desbruyeresia,"Desbruyeresia is a genus of sea snails, marine gastropod mollusks in the family Provannidae. Abyssochrysoidea is a superfamily of deep-water sea snails, marine gastropod mollusks unassigned in the orderCaenogastropoda. These marine snails are part of the fauna of the hydrothermal vents and other deep-water habitats.","Desbruyeresia marianensis, Desbruyeresia marisindica, Desbruyeresia spinosa, Desbruyeresia cancellata"
655,Desmodema lorum,"Desmodema is a small genus of ribbonfishes. The ribbonfish are any lampriform fishes in the family  Trachipteridae. These pelagic fish are named for their slim, ribbon-like appearance.",Desmodema polystictum
656,Desmophyes,"Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.","Prayidae, List of marine cnidarians of South Africa"
657,Desmophyes annectens,"Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.","Prayidae, List of marine cnidarians of South Africa"
658,Desmophyes haematogaster,"Siphonophorae (from Greek siphōn 'tube' + pherein 'to bear') is an order within Hydrozoa, which is a class of marine organisms within the phylum Cnidaria. According to the World Register of Marine Species, the order contains 175 species thus far.", 
659,Desmophyllum,"Desmophyllum is a genus of cnidarians belonging to the family Caryophylliidae. The genus has cosmopolitan distribution. The Caryophylliidae are a family of stony corals found from the tropics to temperate seas, and from shallow to very deep water.","Balanophyllia europaea, Deep-water coral, Lost City Hydrothermal Field, Swiftia comauensis"
660,Desmophyllum dianthus,"Desmophyllum is a genus of cnidarians belonging to the family Caryophylliidae. The genus has cosmopolitan distribution. The Caryophylliidae are a family of stony corals found from the tropics to temperate seas, and from shallow to very deep water.","Tropic Seamount, Swiftia comauensis, Aquaculture in Chile, Anton Dohrn Seamount"
661,detrital aggregate,A food web  is the natural interconnection of food chains and a graphical representation of what-eats-what in an ecological community. Another name for food web is consumer-resource system.,"Sediment, Oldest dated rocks, Age of Earth, Supercontinent"
662,Detritus Sampler,Detritus Sampler equipment, 
663,Dexaminidae,Dexaminidae is a family of amphipods. It contains the following genera:. Amphipoda () is an order of malacostracan crustaceans with no carapace and generally with laterally compressed bodies. Amphipods () range in size from 1 to 340 millimetres (0.,"Gammaridea, Ipilja-ipilja, List of marine crustaceans of South Africa, List of marine animals of the Cape Peninsula and False Bay"
664,Diadematoida,"The Diadematoida are an order of sea urchins. They are distinguished from other sea urchins by the fact that their spines are hollow, or at best have an open mesh at the core, and by the presence of 10 buccal plates around the mouth.","Sea urchin, Echinothrix calamaris, Diadema setosum, List of echinoderm orders"
665,Diastobranchus capensis,"The basketwork eel, Diastobranchus  capensis, is a cutthroat eel, the only species in the genus Diastobranchus. It is found off southern Australia, South Africa, and around New Zealand, in depths over 1,000 m.","List of marine animals of the Cape Peninsula and False Bay, List of marine bony fishes of South Africa"
666,diatom,"A diatom (Neo-Latin diatoma) is any member of a large group comprising several genera of algae, specifically microalgae, found in the oceans, waterways and soils of the world. Living diatoms make up a significant portion of the Earth's biomass: they generate about 20 to 50 percent of the oxygen produced on the planet each year, take in over 6.","Diatomic molecule, Clepsydra (diatom), Diatomaceous earth, Diatomic carbon"
667,Dibranchus,"Dibranchus is a fish genus in the family Ogcocephalidae. Ogcocephalidae is a family of anglerfish specifically adapted for a benthic lifestyle of crawling about on the seafloor. Ogcocephalid anglerfish are sometimes referred to as batfishes, deep-sea batfishes, handfishes, and seabats.","Dibranchus atlanticus, Ogcocephalidae, Halieutopsis nudiventer, List of animals of Long Island Sound"
668,Dibranchus hystrix,"Dibranchus is a fish genus in the family Ogcocephalidae. Ogcocephalidae is a family of anglerfish specifically adapted for a benthic lifestyle of crawling about on the seafloor. Ogcocephalid anglerfish are sometimes referred to as batfishes, deep-sea batfishes, handfishes, and seabats.","List of least concern fishes, List of fishes of India"
669,Dibranchus sp. A,"Dibranchus is a fish genus in the family Ogcocephalidae. Ogcocephalidae is a family of anglerfish specifically adapted for a benthic lifestyle of crawling about on the seafloor. Ogcocephalid anglerfish are sometimes referred to as batfishes, deep-sea batfishes, handfishes, and seabats.","Dibranchus atlanticus, Ogcocephalidae, Halieutopsis nudiventer, List of animals of Long Island Sound"
670,Dibranchus spinosus,"Dibranchus is a fish genus in the family Ogcocephalidae. Ogcocephalidae is a family of anglerfish specifically adapted for a benthic lifestyle of crawling about on the seafloor. Ogcocephalid anglerfish are sometimes referred to as batfishes, deep-sea batfishes, handfishes, and seabats.","List of least concern fishes, List of fishes of India"
671,Dicrolene,"Dicrolene is a genus of cusk-eels. The cusk-eel family, Ophidiidae, is a group of marine bony fishes in the Ophidiiformes order. The scientific name is from the Greek ophis meaning ""snake"", and refers to their eel-like appearance.","Dicrolene tristis, Cusk-eel, List of least concern fishes, List of fishes of India"
672,Dictyaulus,"Euplectellidae is a family of glass sponges (Hexactinellids) belonging to the order Lyssacinosa, first represented in the Ordovician fossil record, substantially older than molecular estimates of the clade's age.", 
673,Dictyaulus sp.,"Euplectellidae is a family of glass sponges (Hexactinellids) belonging to the order Lyssacinosa, first represented in the Ordovician fossil record, substantially older than molecular estimates of the clade's age.", 
674,Dictyaulus starmeri,"Euplectellidae is a family of glass sponges (Hexactinellids) belonging to the order Lyssacinosa, first represented in the Ordovician fossil record, substantially older than molecular estimates of the clade's age.", 
675,Dictyocalyx,"Exodeconus is a genus of flowering plants belonging to the family Solanaceae. Its native range is Western and Southern South America. Lyssacinosida (also spelled Lyssacinosa) is an order of glass sponges (Hexactinellida) belonging to the subclass Hexasterophora. These sponges can be recognized by their parenchymal spicules usually being unconnected, unlike in other sponges in the subclass where the spicules form a more or less tightly connected skeleton.","Euplectellidae, List of Lejeunea species"
676,Didemnidae,"Didemnidae, or Didemnidæ, is a family of colonial tunicates in the order Aplousobranchia. Aplousobranchia is an order of sea squirts in the class Ascidiacea, first described by Fernando Lahille in 1886. They are colonial animals, and are distinguished from other sea squirts by the presence of relatively simple pharyngeal baskets.","Didemnum vexillum, Tunicate, Didemnum, Didemnum molle"
677,Diogenidae,"The Diogenidae are a family of hermit crabs, sometimes known as ""left-handed hermit crabs"" because in contrast to most other hermit crabs, its left chela (claw) is enlarged instead of the right. It comprises 429 extant species, and a further 46 extinct species, making it the second-largest family of marine hermit crabs, after the  Paguridae.","Hermit crab, Clibanarius fonticola, 2018 in arthropod paleontology, Thinstripe hermit crab"
678,Diomedea,"Albatrosses, of the biological family Diomedeidae, are large seabirds related to the procellariids, storm petrels, and diving petrels in the order Procellariiformes (the tubenoses). They range widely in the Southern Ocean and the North Pacific.","Great albatross, Black-browed albatross, Black-footed albatross, Mollymawk"
679,Diplacanthopoma,"Diplacanthopoma is a genus of viviparous brotulas. Bythitinae is a subfamily of viviparous brotulas, one of the two subfamilies in the family Bythitidae. This subfamily is characterised by having the dorsal, caudal and anal fins combined.","David Starr Jordan, Viviparous brotula, Bythitinae, List of prehistoric bony fish genera"
680,DiplacanthopomaA,Diplacanthopoma is a genus of viviparous brotulas.,"David Starr Jordan, Bythitinae, List of prehistoric bony fish genera, List of marine bony fishes of South Africa"
681,DiplacanthopomaB,DiplacanthopomaB, 
682,Dipsacaster,"Dipsacaster is an extinct genus of sea stars in the family Astropectinidae. It was described by Alcock in 1893, and is known from France and Morocco. The Astropectinidae are a family of sea stars in the order Paxillosida. Usually, these starfish live on the seabed and immerse themselves in soft sediment such as sand and mud.",Astropectinidae
683,Dipsacaster eximius,"Dipsacaster is an extinct genus of sea stars in the family Astropectinidae. It was described by Alcock in 1893, and is known from France and Morocco. The Astropectinidae are a family of sea stars in the order Paxillosida. Usually, these starfish live on the seabed and immerse themselves in soft sediment such as sand and mud.",Astropectinidae
684,Distichopora,"Distichopora is a genus of hydrozoans belonging to the family Stylasteridae. The species of this genus are found in Pacific Ocean, Indian Ocean and Central Atlantic Ocean. Stylasteridae is a family of hydrozoans.","Stylasteridae, 2019 in paleontology, List of marine aquarium invertebrate species, List of prehistoric medusozoan genera"
685,Distichoptilum,Protoptilidae is a family of corals belonging to the order Pennatulacea. Genera:.,List of marine cnidarians of South Africa
686,Distichoptilum gracile,Protoptilidae is a family of corals belonging to the order Pennatulacea. Genera:.,List of marine cnidarians of South Africa
687,Docosaccus maculatus,"Euplectellidae is a family of glass sponges (Hexactinellids) belonging to the order Lyssacinosa, first represented in the Ordovician fossil record, substantially older than molecular estimates of the clade's age.", 
688,Dofleinia,"Dofleinia armata, commonly known as the striped anemone or armed anemone, is a species of sea anemone in the family Actiniidae. It is the only species in the genus Dofleinia.","Ancylomenes magnificus, Striped anemone, Actiniidae, Franz Theodor Doflein"
689,Doliolenetta,Doliolenetta, 
690,Dolioletta,"Dolioletta is a genus of tunicates in the family Doliolidae. Doliolidae is a family of tunicates in the order Doliolida. Members of the family are pelagic and often found far away from coastlines. Thaliacea is a class of marine animals within the subphylum Tunicata, comprising the salps, pyrosomes and doliolids. Unlike their benthic relatives the ascidians, from which they are believed to have emerged, thaliaceans are free-floating (pelagic) for their entire lifespan.","Dolioletta gegenbauri, Dolioletta mirabilis, Doliolidae, Doliolida"
691,Doliolida,"The Doliolida are an order of small marine animals of the subphylum Tunicata. They are in the class Thaliacea, which also includes the salps and pyrosomes.","Tunicate, Thaliacea, Doliolum, Salp"
692,Doliolidae,"Doliolidae is a family of tunicates in the order Doliolida. Members of the family are pelagic and often found far away from coastlines. Thaliacea is a class of marine animals within the subphylum Tunicata, comprising the salps, pyrosomes and doliolids. Unlike their benthic relatives the ascidians, from which they are believed to have emerged, thaliaceans are free-floating (pelagic) for their entire lifespan.","Doliolum, Thaliacea, Dolioletta gegenbauri, Dolioletta"
693,Doliolidina,"Thaliacea is a class of marine animals within the subphylum Tunicata, comprising the salps, pyrosomes and doliolids. Unlike their benthic relatives the ascidians, from which they are believed to have emerged, thaliaceans are free-floating (pelagic) for their entire lifespan.", 
694,Doliolina (Doliolinetta),Doliolina is a genus of tunicates belonging to the family Doliolidae. The species of this genus are found in Southern Hemisphere.,"Thaliacea, Doliolidae"
695,Doliolula equus,"Thaliacea is a class of marine animals within the subphylum Tunicata, comprising the salps, pyrosomes and doliolids. Unlike their benthic relatives the ascidians, from which they are believed to have emerged, thaliaceans are free-floating (pelagic) for their entire lifespan.",Doliopsidae
696,Doryteuthis,"Doryteuthis plei, also known as the slender inshore squid or arrow squid, is a medium-sized squid belonging to the family Loliginidae. It occurs abundantly in coastal waters of the Atlantic Ocean, from Argentina northward to North Carolina.","Doryteuthis opalescens, Doryteuthis, Doryteuthis gahi, Longfin inshore squid"
697,Doryteuthis (Amerigo) opalescens,"Doryteuthis opalescens, the opalescent inshore squid or market squid, is a small squid (mantle length (ML) up to  190 mm) in the family Loliginidae. It is a myopsid squid, which is the near shore group and that means that they have corneas over their eyes.","Doryteuthis, Loliginidae, Lampara net, Cuttlefish"
698,Doryteuthis opalescens,"Doryteuthis opalescens, the opalescent inshore squid or market squid, is a small squid (mantle length (ML) up to  190 mm) in the family Loliginidae. It is a myopsid squid, which is the near shore group and that means that they have corneas over their eyes.","Doryteuthis, Loliginidae, Lampara net, Cuttlefish"
699,Dosidicus gigas,"The Humboldt squid (Dosidicus gigas), also known as jumbo squid or jumbo flying squid (EN), and Pota in Peru or Jibia in Chile (ES) is a large, predatory squid living in the eastern Pacific Ocean. It is the only known species of the genus Dosidicus of the subfamily Ommastrephinae, family Ommastrephidae.","Ommastrephidae, Cephalopod size, Cephalopod attack, Cephalopod beak"
700,dover sole,dover sole, 
701,Dromalia,Rhodaliidae is a family of siphonophores. In Japanese they are called ヒノマルクラゲ (hinomarukurage)., 
702,Dromalia alexandri,Rhodaliidae is a family of siphonophores. In Japanese they are called ヒノマルクラゲ (hinomarukurage)., 
703,drop weight,drop weight equipment, 
704,Dye Injector,Dye Injector equipment, 
705,Dysalotus,"Dysalotus is a genus of fish in the family Chiasmodontidae found in the Atlantic, Indian and Pacific Ocean. The Chiasmodontidae, snaketooth fishes or swallowers, are a family of deep-sea percomorph fishes, part of the order Trachiniformes, known from oceans worldwide.","Dysalotus alcocki, Chiasmodontidae, Archibald Currie MacGilchrist, List of least concern perciform fishes"
706,Dytaster,Dytaster is a genus of echinoderms belonging to the family Astropectinidae. The genus has almost cosmopolitan distribution.,"Astropectinidae, Psilaster andromeda"
707,Dytaster gilberti,Dytaster is a genus of echinoderms belonging to the family Astropectinidae. The genus has almost cosmopolitan distribution., 
708,Earleria,"Mitrocomidae is an accepted family in the order Leptothecata. Mitrocomidae is an accepted family in the order Leptothecata. Leptothecata, or thecate hydroids, are an order of hydrozoans in the phylum Cnidaria. Their closest living relatives are the athecate hydroids, which are similar enough to have always been considered closely related, and the very apomorphic Siphonophorae, which were placed outside the ""Hydroida"".","Leptothecata, Conica (suborder), Cosmetira, List of marine cnidarians of South Africa"
709,Earleria corachloeae,"Mitrocomidae is an accepted family in the order Leptothecata. Mitrocomidae is an accepted family in the order Leptothecata. Leptothecata, or thecate hydroids, are an order of hydrozoans in the phylum Cnidaria. Their closest living relatives are the athecate hydroids, which are similar enough to have always been considered closely related, and the very apomorphic Siphonophorae, which were placed outside the ""Hydroida"".","Leptothecata, Conica (suborder), Cosmetira, List of marine cnidarians of South Africa"
710,Earleria purpurea,"Mitrocomidae is an accepted family in the order Leptothecata. Mitrocomidae is an accepted family in the order Leptothecata. Leptothecata, or thecate hydroids, are an order of hydrozoans in the phylum Cnidaria. Their closest living relatives are the athecate hydroids, which are similar enough to have always been considered closely related, and the very apomorphic Siphonophorae, which were placed outside the ""Hydroida"".","Leptothecata, Conica (suborder), Cosmetira, List of marine cnidarians of South Africa"
711,Echinidae,Echinidae is a family of sea urchins in the order Echinoida. Members of the family are found in the Atlantic Ocean and the Antarctic.,"Echinus esculentus, Sea urchin, Echinoida, Echinus melo"
712,Echinidea,The Camarodonta are an order of globular sea urchins in the class Echinoidea. The fossil record shows that camarodonts have been in existence since the Lower Cretaceous.,"Echinoida, Echinacea (animal), Echinometridae, Tripneustes"
713,Echinocrepis rostrata,"The pourtalesiids (Pourtalesiidae) are a family of irregular sea urchins that live in the deep sea. They are secondarily bilateral-symmetrical and like other representatives of the taxon Holasteroida they lack the lantern of Aristotle, which is typical for many other sea urchins.", 
714,Echinocrepis setigera,"The pourtalesiids (Pourtalesiidae) are a family of irregular sea urchins that live in the deep sea. They are secondarily bilateral-symmetrical and like other representatives of the taxon Holasteroida they lack the lantern of Aristotle, which is typical for many other sea urchins.", 
715,Echinoidea,"Sea urchins () are spiny, globular echinoderms in the class Echinoidea. About 950 species of sea urchin are distributed on the seabeds of every ocean and inhabit every depth zone from the intertidal seashore down to 5,000 meters (16,000 ft; 2,700 fathoms).","World Register of Marine Species, Kina (animal), Diadema setosum, Echinoderm"
716,Echinorhinus cookei,"The prickly shark (Echinorhinus cookei) is one of the two species of sharks in the family Echinorhinidae (the other one is the bramble shark), found in the Pacific Ocean over continental and insular shelves and slopes, and in submarine canyons. Bottom-dwelling in nature, it generally inhabits cool waters 100–650 m (330–2,130 ft) deep, but it also frequently enters shallower water in areas such as Monterey Bay off California.","Echinorhinus, Bluntnose sixgill shark, Bramble shark, List of sharks"
717,Echinothuriidae,"The Echinothuriidae are a family of sea urchins in the order Echinothurioida. Due to their soft skeletons, most are called ""leather urchins"", but species in the genus Asthenosoma are also known as ""fire urchins"" due to their bright colors and painful, venomous sting.","Sea urchin, Asthenosoma, Asthenosoma varium, Araeosoma splendens"
718,Echinothurioida,The Echinothurioida are an order of sea urchins in the class Echinoidea. Echinothurioids are distinguished from other sea urchins by the combination of a flexible test and hollow spines.,"Sea urchin, Echinothuriidae, Asthenosoma varium, List of echinoderm orders"
719,Echiura,"The Echiura, or spoon worms, are a small group of marine animals. Once treated as a separate phylum, they are now considered to belong to Annelida.","Annelid, Urechis unicinctus, Lophotrochozoa, Priapulida"
720,"Echiura ""mucus tube""","Echiura ""mucus tube""", 
721,Ectenagena elongata,"Vesicomyidae is a family of saltwater clams, marine bivalve molluscs in the superfamily Glossoidea. Vesicomyidae is a family of saltwater clams, marine bivalve molluscs in the superfamily Glossoidea. Vesicomyidae is a family of saltwater clams, marine bivalve molluscs in the superfamily Glossoidea.","2014 in molluscan paleontology, List of organisms named after famous people (born 1900–1949)"
722,Ectreposebastes imus,"Ectreposebastes is a genus of marine ray-finned fish, belonging to the subfamily Setarchinae, the deep-sea bristly scorpionfishes, part of the family Scorpaenidae. The genus is found in the Atlantic, Indian and Pacific Oceans.","Deep sea, List of least concern fishes"
723,Edwardsiella,"Edwardsiella tarda is a member of the family Hafniaceae. The bacterium is a facultatively anaerobic, small, motile, gram negative, straight rod with flagella.","Edwardsiella, Edwardsiella (bacterium), Edwardsiella ictaluri, Pagophily"
724,Edwardsiidae,Edwardsiidae is a family of sea anemones. Edwardsiids have long thin bodies and live buried in sediments or in holes or crevices in rock. Edwardsiidae is a family of sea anemones. Edwardsiids have long thin bodies and live buried in sediments or in holes or crevices in rock.,"Sea anemone, Starlet sea anemone, List of sea anemone families, IUCN Red List data deficient species (Cnidaria)"
725,eggcase,"The argonauts (genus Argonauta, the only extant genus in the family Argonautidae) are a group of pelagic octopuses. They are also called paper nautili, referring to the paper-thin eggcase that females secrete.","Argonauta argo, Cephalopod, Shark Trust, Kapal"
726,eggs,eggs, 
727,Egregia menziesii,Egregia menziesii is a species of kelp known commonly as feather boa kelp. It is the only species in the monotypic genus Egregia.,"Lessoniaceae, Fucus, Kelp, Brown algae"
728,Eguchipsammia,Eguchipsammia is a genus of corals belonging to the family Dendrophylliidae. The genus has almost cosmopolitan distribution. Dendrophylliidae is a family of stony corals. Most (but not all) members are azooxanthellate and thus have to capture food with their tentacles instead of relying on photosynthesis to produce their food.,"Eguchipsammia cornucopia, Endemism in the Hawaiian Islands, Dendrophylliidae, Coral Patch Seamount"
729,Eguchipsammia fistula,Eguchipsammia is a genus of corals belonging to the family Dendrophylliidae. The genus has almost cosmopolitan distribution. Dendrophylliidae is a family of stony corals. Most (but not all) members are azooxanthellate and thus have to capture food with their tentacles instead of relying on photosynthesis to produce their food.,"Cup coral, Scleractinia, Tubastraea, IUCN Red List data deficient species (Cnidaria)"
730,Eknomisis,"Bamboo coral, family Isididae, is a family of mostly deep-sea coral of the phylum Cnidaria. It is a commonly recognized inhabitant of the deep sea, due to the clearly articulated skeletons of the species.", 
731,Eleutherobia,Eleutherobia is a genus of soft corals in the family Alcyoniidae. Alcyoniidae is a family of leathery or soft corals in the phylum Cnidaria.,"Pennatula, Variable soft coral, E. lutea, Aliwal Shoal"
732,Ellisellidae,Ellisellidae is a family of soft corals.,"Alcyonacea, Calcaxonia, Ellisella paraplexauroides, List of marine cnidarians of South Africa"
733,Elpidia,"Elpidiidae is a family of deep-sea sea cucumbers. Elasipodida is an order of sea cucumbers. They have numerous appendages, including conical papillae and leaf-like tentacles.","Scotoplanes, Sea cucumber, Elasipodida, Scotoplanes globosa"
734,Elpidia sp. A,"Elpidiidae is a family of deep-sea sea cucumbers. Elasipodida is an order of sea cucumbers. They have numerous appendages, including conical papillae and leaf-like tentacles.","Scotoplanes, Sea cucumber, Elasipodida, Scotoplanes globosa"
735,Elpidiidae,"Elpidiidae is a family of deep-sea sea cucumbers. Elasipodida is an order of sea cucumbers. They have numerous appendages, including conical papillae and leaf-like tentacles.","Scotoplanes, Sea cucumber, Elasipodida, Scotoplanes globosa"
736,Embassichthys bathybius,"The deepsea sole (Embassichthys bathybius) is a flatfish of the family Pleuronectidae. It is a bathydemersal fish that lives on muddy bottoms at depths of between 41 and 1,800 metres (135 and 5,906 ft), though it is most often found at depths of 500 to 950 metres (1,640 to 3,120 ft).",Patton Seamount
737,Enallopsammia,Enallopsammia is a genus of cnidarians belonging to the family Dendrophylliidae. The genus has cosmopolitan distribution. Dendrophylliidae is a family of stony corals. Most (but not all) members are azooxanthellate and thus have to capture food with their tentacles instead of relying on photosynthesis to produce their food.,"Deep-water coral, Dendrophylliidae, List of prehistoric hexacoral genera"
738,Enallopsammia pusilla,Enallopsammia is a genus of cnidarians belonging to the family Dendrophylliidae. The genus has cosmopolitan distribution. Dendrophylliidae is a family of stony corals. Most (but not all) members are azooxanthellate and thus have to capture food with their tentacles instead of relying on photosynthesis to produce their food.,"Cup coral, Scleractinia, Tubastraea, IUCN Red List data deficient species (Cnidaria)"
739,Enallopsammia rostrata,Enallopsammia is a genus of cnidarians belonging to the family Dendrophylliidae. The genus has cosmopolitan distribution. Dendrophylliidae is a family of stony corals. Most (but not all) members are azooxanthellate and thus have to capture food with their tentacles instead of relying on photosynthesis to produce their food.,Deep-water coral
740,Endoxocrinus,"Endoxocrinus is a genus of echinoderms belonging to the family Pentacrinitidae. The species of this genus are found in Western Europe, America, Southeastern Asia and Australia. Isselicrinidae is one of four extant families of crinoids in the order Isocrinida.","Endoxocrinus parrae, Isocrinida, Isselicrinidae, Crinoid"
741,Engraulis mordax,"Engraulis is a genus of anchovies. It currently contains nine species. An anchovy is a small, common forage fish of the family Engraulidae. Most species are found in marine waters, but several will enter brackish water, and some in South America are restricted to fresh water.","Californian anchovy, Anchovy, Albacore, Queenfish"
742,Enteroctopus,Enteroctopus is an octopus genus whose members are sometimes known as giant octopuses.,"Giant Pacific octopus, Enteroctopus magnificus, Enteroctopus zealandicus, Patagonian red octopus"
743,Enteroctopus dofleini,"The giant Pacific octopus (Enteroctopus dofleini), also known as the North Pacific giant octopus, is a large marine cephalopod belonging to the genus Enteroctopus. Its spatial distribution includes the coastal North Pacific, along Mexico (Baja California), The United States (California, Oregon, Washington, and Alaska), Canada (British Columbia), Russia, Eastern China, Japan, and the Korean Peninsula.","Enteroctopus, Octopus, Octopus (genus), Cephalopod size"
744,Enteropneusta,The acorn worms or Enteropneusta are a hemichordate class of invertebrates consisting of one order of the same name. The closest non-hemichordate relatives of the Enteropneusta are the echinoderms.,"Hemichordate, Balanoglossus, Deuterostome, List of animal classes"
745,Entosphenus tridentatus,The Pacific lamprey (Entosphenus tridentatus) is an anadromous parasitic lamprey from the Pacific Coast of North America and Asia. It is a member of the Petromyzontidae family.,"Lamprey, Entosphenus, Fish wheel, Nez Perce"
746,Enypniastes,"Enypniastes is a genus of deep-sea sea cucumber. It is monotypic, being represented by the single species Enypniastes eximia.","Sea cucumber, Elasipodida, Pelagothuriidae, NOAAS Okeanos Explorer Gulf of Mexico 2017 Expedition"
747,Eopsetta jordani,"The Petrale sole (Eopsetta jordani) is an edible flatfish of the family Pleuronectidae. It is a demersal fish that lives on sandy bottoms, usually in deep water, down to depths of about 550 metres (1,800 ft).","Eopsetta, Brill (fish), David Starr Jordan, Kudoa thyrsites"
748,Epetriodus freddyi,"The needletooth cusk (Epetriodus freddyi) is a species of cusk-eel found in the Indian and the western Pacific Ocean where it occurs at depths of 1,000 to 1,750 metres (3,280 to 5,740 ft). This species grows to a length of 21.","Norman Bertram Marshall, List of marine bony fishes of South Africa"
749,Epialtidae,"Epialtidae is a family of crabs, containing the subfamilies:.","Majoidea, Crab, Pugettia producta, Hoplophrys"
750,Epigonidae,"Epigonidae, the deepwater cardinalfishes, are a family of perciform fishes. The family includes about 43 species.","Perciformes, Percoidea, Epigonus elegans, Epigonus elongatus"
751,Epigonus,"Epigonidae, the deepwater cardinalfishes, are a family of perciform fishes. The family includes about 43 species.","Perciformes, Percoidea, Epigonus elegans, Epigonus elongatus"
